Date,Open,High,Low,Close
2021-01-01,1.05163,1.05513,1.04756,1.04839
2021-01-04,1.04488,1.0478,1.04118,1.0471
2021-01-05,1.05136,1.05415,1.0499,1.05331
2021-01-06,1.05556,1.05738,1.05166,1.05705
2021-01-07,1.05846,1.06009,1.05586,1.05706
2021-01-08,1.05817,1.06315,1.05451,1.05885
2021-01-11,1.05496,1.05618,1.05,1.05369
2021-01-12,1.0574,1.05878,1.05488,1.05615
2021-01-13,1.06059,1.0617,1.05599,1.06094
2021-01-14,1.06364,1.06848,1.06059,1.0657
2021-01-15,1.06559,1.06685,1.0636,1.06622
2021-01-18,1.06806,1.0704,1.06496,1.06881
2021-01-19,1.07258,1.07422,1.0682,1.07414
2021-01-20,1.07376,1.07825,1.07159,1.07193
2021-01-21,1.0766,1.07952,1.07388,1.07944
2021-01-22,1.08088,1.08523,1.07943,1.08331
2021-01-25,1.08714,1.08817,1.08316,1.08335
2021-01-26,1.08041,1.08399,1.07894,1.08162
2021-01-27,1.08044,1.08216,1.07589,1.07842
2021-01-28,1.07969,1.08299,1.077,1.08079
2021-01-29,1.08329,1.08641,1.08005,1.08349
2021-02-01,1.08353,1.08647,1.08216,1.08535
2021-02-02,1.08661,1.08938,1.08413,1.0873
2021-02-03,1.08252,1.08627,1.08037,1.08494
2021-02-04,1.08517,1.08744,1.08413,1.08481
2021-02-05,1.08248,1.08629,1.08091,1.08588
2021-02-08,1.08827,1.09035,1.08332,1.08445
2021-02-09,1.08459,1.08564,1.08024,1.08174
2021-02-10,1.0842,1.08882,1.07994,1.08593
2021-02-11,1.08483,1.08864,1.08378,1.08738
2021-02-12,1.0881,1.09298,1.08358,1.08432
2021-02-15,1.08635,1.08795,1.08142,1.08402
2021-02-16,1.08241,1.08527,1.07877,1.08402
2021-02-17,1.08858,1.09003,1.08461,1.08836
2021-02-18,1.08944,1.0926,1.08477,1.08509
2021-02-19,1.08273,1.08398,1.08058,1.08275
2021-02-22,1.08706,1.08931,1.08399,1.08836
2021-02-23,1.09203,1.09562,1.09098,1.09258
2021-02-24,1.08929,1.0928,1.08505,1.08767
2021-02-25,1.08535,1.08917,1.08198,1.08457
2021-02-26,1.08454,1.08626,1.08118,1.08311
2021-03-01,1.08679,1.08859,1.08301,1.08768
2021-03-02,1.09034,1.09182,1.08712,1.08916
2021-03-03,1.08523,1.08906,1.0823,1.086
2021-03-04,1.08128,1.08524,1.07663,1.08123
2021-03-05,1.08105,1.08226,1.07825,1.07862
2021-03-08,1.07934,1.08207,1.07691,1.07753
2021-03-09,1.0814,1.08373,1.07958,1.07997
2021-03-10,1.08268,1.08755,1.07791,1.07913
2021-03-11,1.08033,1.08527,1.07599,1.08358
2021-03-12,1.08687,1.08817,1.0837,1.08579
2021-03-15,1.0855,1.08735,1.08285,1.08412
2021-03-16,1.08533,1.08974,1.08424,1.086
2021-03-17,1.08679,1.0888,1.0836,1.08605
2021-03-18,1.08718,1.08994,1.08431,1.08713
2021-03-19,1.08308,1.08803,1.07904,1.08783
2021-03-22,1.09209,1.09501,1.09022,1.09279
2021-03-23,1.09335,1.09581,1.09132,1.09318
2021-03-24,1.08824,1.09004,1.08404,1.08846
2021-03-25,1.09176,1.09393,1.08722,1.09166
2021-03-26,1.08787,1.09148,1.08563,1.08996
2021-03-29,1.08782,1.09244,1.08314,1.09204
2021-03-30,1.08787,1.09239,1.08457,1.08639
2021-03-31,1.08242,1.08679,1.07753,1.07917
2021-04-01,1.08093,1.08509,1.079,1.0847
2021-04-02,1.08577,1.08714,1.08225,1.08411
2021-04-05,1.08469,1.0886,1.08048,1.08218
2021-04-06,1.07815,1.08197,1.07492,1.07626
2021-04-07,1.07695,1.07859,1.07418,1.07848
2021-04-08,1.08117,1.08569,1.07963,1.08512
2021-04-09,1.08904,1.09138,1.08798,1.09092
2021-04-12,1.09541,1.10039,1.09077,1.09512
