Date,Open,High,Low,Close
2019-01-01,1.048,1.05255,1.04693,1.04728
2019-01-02,1.04267,1.04455,1.03991,1.04417
2019-01-03,1.04829,1.05192,1.04402,1.04591
2019-01-04,1.04385,1.04588,1.04248,1.04428
2019-01-07,1.04196,1.04634,1.03759,1.03818
2019-01-08,1.03665,1.04117,1.03255,1.0401
2019-01-09,1.03828,1.03985,1.03615,1.03768
2019-01-10,1.03834,1.04083,1.0339,1.03994
2019-01-11,1.0443,1.04633,1.04279,1.04591
2019-01-14,1.04256,1.04359,1.04129,1.04212
2019-01-15,1.04242,1.04696,1.04119,1.04276
2019-01-16,1.04601,1.05054,1.04247,1.04547
2019-01-17,1.04063,1.04551,1.03631,1.04302
2019-01-18,1.04246,1.04493,1.03783,1.04343
2019-01-21,1.046,1.05089,1.04176,1.04422
2019-01-22,1.04514,1.0471,1.04248,1.04676
2019-01-23,1.04981,1.05424,1.04732,1.05118
2019-01-24,1.05334,1.05689,1.0506,1.05679
2019-01-25,1.05726,1.06143,1.05238,1.05651
2019-01-28,1.06151,1.06294,1.05749,1.06123
2019-01-29,1.06155,1.06401,1.05939,1.06117
2019-01-30,1.06504,1.06614,1.06181,1.0649
2019-01-31,1.06951,1.07247,1.06545,1.06928
2019-02-01,1.06997,1.07414,1.0677,1.06964
2019-02-04,1.06822,1.06951,1.06479,1.06938
2019-02-05,1.07237,1.07601,1.07012,1.07149
2019-02-06,1.06679,1.06888,1.06396,1.06438
2019-02-07,1.06826,1.073,1.06542,1.06993
2019-02-08,1.06628,1.06889,1.0639,1.06658
2019-02-11,1.06289,1.06636,1.05809,1.06432
2019-02-12,1.06555,1.06844,1.06437,1.06584
2019-02-13,1.06923,1.07057,1.06532,1.066
2019-02-14,1.06188,1.0664,1.06026,1.06538
2019-02-15,1.06471,1.06578,1.06165,1.06254
2019-02-18,1.06408,1.0657,1.06002,1.06366
2019-02-19,1.06812,1.07006,1.06377,1.06557
2019-02-20,1.06121,1.06492,1.05744,1.05927
2019-02-21,1.05568,1.06023,1.05441,1.05667
2019-02-22,1.05383,1.05507,1.05216,1.05378
2019-02-25,1.04904,1.05111,1.04803,1.04874
2019-02-26,1.04731,1.05146,1.04329,1.0476
2019-02-27,1.05117,1.05308,1.04617,1.04662
2019-02-28,1.04455,1.04786,1.04222,1.04519
2019-03-01,1.04564,1.0482,1.04463,1.04752
2019-03-04,1.04482,1.04717,1.04156,1.04243
2019-03-05,1.04083,1.04467,1.03801,1.04292
2019-03-06,1.04201,1.04379,1.03892,1.04256
2019-03-07,1.04539,1.04988,1.04373,1.04648
2019-03-08,1.04349,1.04601,1.03991,1.04332
2019-03-11,1.04748,1.0489,1.04491,1.04723
2019-03-12,1.0472,1.05012,1.04528,1.04966
2019-03-13,1.0512,1.05537,1.049,1.05501
2019-03-14,1.05866,1.0604,1.05681,1.05984
2019-03-15,1.05623,1.05905,1.05517,1.05524
2019-03-18,1.05523,1.05721,1.05192,1.05469
2019-03-19,1.05272,1.05602,1.04862,1.05173
2019-03-20,1.04754,1.05048,1.04376,1.04549
2019-03-21,1.05041,1.05422,1.04795,1.04917
2019-03-22,1.04726,1.05011,1.04534,1.04588
2019-03-25,1.04203,1.04457,1.03719,1.03862
2019-03-26,1.03457,1.0387,1.03177,1.03476
2019-03-27,1.03053,1.03325,1.02881,1.03149
2019-03-28,1.03271,1.03534,1.02927,1.03179
2019-03-29,1.03182,1.03575,1.0298,1.03151
2019-04-01,1.03118,1.03385,1.0275,1.02951
2019-04-02,1.02802,1.03286,1.02522,1.02541
2019-04-03,1.02745,1.03145,1.02636,1.03019
2019-04-04,1.03467,1.03715,1.03237,1.03244
2019-04-05,1.03457,1.03759,1.03257,1.03428
2019-04-08,1.02974,1.03155,1.0257,1.02655
2019-04-09,1.02276,1.02437,1.02061,1.02317
2019-04-10,1.01843,1.02248,1.01569,1.0208
2019-04-11,1.02563,1.02743,1.02196,1.0222
2019-04-12,1.02028,1.02193,1.01874,1.01962
2019-04-15,1.01874,1.01987,1.01437,1.01668
2019-04-16,1.01709,1.0205,1.01431,1.02015
2019-04-17,1.01965,1.022,1.0154,1.01798
2019-04-18,1.01866,1.02234,1.01682,1.02023
2019-04-19,1.01567,1.01878,1.01393,1.01842
2019-04-22,1.01414,1.0187,1.01311,1.01707
2019-04-23,1.0178,1.02,1.01489,1.01919
2019-04-24,1.01797,1.01985,1.01333,1.01435
2019-04-25,1.01464,1.01742,1.01265,1.01636
2019-04-26,1.01316,1.0168,1.01202,1.01662
